,all,counts,male,,mostly_male,,female,,mostly_female,,andy,,unknown,
128,water,114,team,49.0,service,6.0,days,35.0,sessions,6.0,rpm,2.0,pass,22.0
129,machine,113,train,49.0,account,6.0,don,35.0,physical,6.0,instructors,2.0,pay,22.0
130,worth,112,job,48.0,decent,6.0,worked,35.0,wonderful,6.0,loads,2.0,variety,22.0
131,enjoy,111,cool,48.0,coming,6.0,offer,34.0,atmosphere,6.0,employees,2.0,close,22.0
132,music,111,athlete,48.0,running,6.0,supportive,34.0,jared,6.0,atmosphere,2.0,shape,22.0
133,train,111,easy,47.0,favorite,6.0,session,34.0,achieve,6.0,showers,2.0,fantastic,21.0
134,team,111,push,47.0,yoga,6.0,covid,33.0,motivating,5.0,days,2.0,kind,21.0
135,sign,110,customer,47.0,racks,6.0,downtown,33.0,incredible,5.0,treated,2.0,busy,21.0
136,24,110,money,47.0,price,6.0,motivating,33.0,kind,5.0,desk,2.0,convenient,21.0
137,job,109,stars,46.0,open,6.0,facilities,33.0,owner,5.0,jess,2.0,worth,21.0
138,health,109,south,46.0,gold,6.0,extremely,33.0,team,5.0,ride,2.0,exercise,21.0
139,atomic,109,golds,46.0,24,6.0,leave,32.0,charged,5.0,indoor,2.0,sign,20.0
140,coaching,108,squat,45.0,money,6.0,coaching,32.0,club,5.0,huge,2.0,happy,20.0
141,worked,108,maintained,45.0,feeling,6.0,moved,32.0,loving,5.0,10,2.0,favorite,20.0
142,lifting,106,fantastic,44.0,feels,6.0,needed,32.0,crowded,5.0,thought,2.0,shower,20.0
143,high,105,check,44.0,visit,6.0,comfortable,32.0,felt,5.0,worth,2.0,rooms,20.0
144,fantastic,104,worth,44.0,studio,6.0,lamar,32.0,group,5.0,don,2.0,signed,20.0
145,safe,104,racks,44.0,rate,6.0,instructor,31.0,easy,5.0,wanted,2.0,minutes,20.0
146,'ll,104,making,43.0,coach,6.0,worth,31.0,worked,5.0,canceled,2.0,health,20.0
147,encouraging,103,long,43.0,form,6.0,water,31.0,trained,5.0,store,2.0,rude,20.0
148,money,103,wait,43.0,thought,6.0,making,31.0,coach,5.0,reach,2.0,form,20.0
149,hour,103,perfect,42.0,treadmills,6.0,professional,31.0,hours,5.0,rooms,2.0,la,20.0
150,wait,102,options,42.0,making,6.0,sign,30.0,favorite,5.0,sketchy,2.0,town,19.0
151,heat,100,pay,42.0,'ll,6.0,excellent,30.0,point,5.0,tub,2.0,perfect,19.0
152,perfect,100,phone,42.0,floor,6.0,lift,30.0,options,5.0,light,2.0,absolutely,19.0
153,sessions,100,club,42.0,atomic,6.0,hours,30.0,beautiful,5.0,space,2.0,today,19.0
154,huge,100,worked,42.0,30,6.0,perfect,30.0,early,5.0,high,2.0,employees,19.0
155,cool,100,instructors,42.0,john,6.0,locker,30.0,massage,5.0,2.5,2.0,easy,19.0
156,thought,100,challenging,41.0,moved,5.0,huge,30.0,area,5.0,programs,2.0,left,19.0
157,covid,99,moved,41.0,helped,5.0,pretty,30.0,healthy,5.0,injury,2.0,sessions,19.0
158,south,99,covid,41.0,experienced,5.0,feels,30.0,walk,5.0,routine,2.0,team,19.0
159,needed,99,pass,41.0,healthy,5.0,30,30.0,personally,5.0,ability,2.0,energy,19.0
160,quality,98,stronger,41.0,incredible,5.0,clients,30.0,absolutely,5.0,lafitness,2.0,thought,19.0
161,making,97,huge,41.0,perfect,5.0,sessions,29.0,told,5.0,ro,2.0,account,18.0
162,lift,97,athletes,41.0,progress,5.0,shape,29.0,phone,5.0,running,2.0,pf,18.0
163,card,97,la,41.0,simply,5.0,atomic,29.0,respect,5.0,meter,2.0,machine,18.0
164,felt,96,happy,40.0,fantastic,5.0,today,28.0,fantastic,5.0,races,2.0,covid,18.0
165,weeks,96,bit,40.0,terrible,5.0,safe,28.0,takes,5.0,focused,2.0,offer,18.0
166,moved,95,access,40.0,close,5.0,lifting,28.0,large,5.0,1/2,2.0,check,18.0
167,absolutely,95,basketball,40.0,pf,5.0,job,28.0,support,5.0,❤️❤️❤️,2.0,needed,18.0
168,locations,95,bad,39.0,safe,5.0,plenty,28.0,joining,5.0,focus,2.0,starting,18.0
169,positive,94,health,39.0,job,5.0,helped,28.0,paid,5.0,options,2.0,late,18.0
170,yoga,94,large,39.0,water,5.0,cancel,28.0,leave,5.0,6am,2.0,called,18.0
171,wonderful,93,sessions,39.0,wait,5.0,fantastic,28.0,gold,5.0,krista,2.0,charged,18.0
172,leave,93,owner,38.0,property,5.0,close,28.0,basically,5.0,passionate,2.0,yoga,18.0
173,athlete,93,days,38.0,lots,5.0,start,27.0,plan,5.0,stronger,2.0,hour,18.0
174,pay,92,locations,38.0,sense,5.0,program,27.0,melissa,5.0,matter,2.0,”,17.0
175,minutes,92,rooms,38.0,sign,5.0,friends,27.0,david,5.0,fantastic,1.0,door,17.0
176,offer,91,needed,37.0,pay,5.0,long,26.0,motivated,4.0,entertaining,1.0,change,17.0
177,joined,91,lifetime,37.0,otf,5.0,high,26.0,clients,4.0,inclusive,1.0,“,17.0
178,30,91,lift,37.0,lifting,5.0,10,26.0,ways,4.0,demographics,1.0,joined,17.0
179,supportive,90,felt,36.0,locations,5.0,minutes,26.0,signed,4.0,ages,1.0,lift,17.0
