,all,counts,male,,mostly_male,,female,,mostly_female,,andy,,unknown,
4361,ugly,2,setback,1.0,,,attractive,1.0,,,,,,
4362,stern,2,🔥,1.0,,,slog,1.0,,,,,,
4363,buisness,2,besssttt,1.0,,,slimey,1.0,,,,,,
4364,loans,2,macgi,1.0,,,kitsch,1.0,,,,,,
4365,ect,2,machinery,1.0,,,evaporate,1.0,,,,,,
4366,worlds,2,consists,1.0,,,woodwork,1.0,,,,,,
4367,heal,2,🧹,1.0,,,ashley,1.0,,,,,,
4368,wasting,2,frienfly,1.0,,,over-crowded,1.0,,,,,,
4369,erin,2,sea,1.0,,,jenkins,1.0,,,,,,
4370,todo,2,epic,1.0,,,delievered,1.0,,,,,,
4371,las,2,💪🏽,1.0,,,yoga/zumba,1.0,,,,,,
4372,ambiente,2,😎,1.0,,,regional,1.0,,,,,,
4373,warmly,2,weekdays,1.0,,,accumulated,1.0,,,,,,
4374,up-beat,2,dressing,1.0,,,soap,1.0,,,,,,
4375,65,2,settled,1.0,,,scratched,1.0,,,,,,
4376,aspirations,2,assignment,1.0,,,accumulation,1.0,,,,,,
4377,belonging,2,undergrad,1.0,,,headquarters,1.0,,,,,,
4378,thriving,2,claustrophobic,1.0,,,report,1.0,,,,,,
4379,judgmental,2,luster,1.0,,,unsubscribe,1.0,,,,,,
4380,responded,2,2014,1.0,,,receiving,1.0,,,,,,
4381,tweak,2,area-,1.0,,,reply,1.0,,,,,,
4382,bubbly,2,room-,1.0,,,southern,1.0,,,,,,
4383,crossfitter,2,showers-,1.0,,,publish,1.0,,,,,,
4384,cheer,2,scrubbing,1.0,,,deceitful,1.0,,,,,,
4385,laughs,2,mopping,1.0,,,sleazy,1.0,,,,,,
4386,gallon,2,disinfectant,1.0,,,fraudulent,1.0,,,,,,
4387,fundamentals,2,sauna-,1.0,,,enrolled,1.0,,,,,,
4388,tremendous,2,scrubbed,1.0,,,acknowledged,1.0,,,,,,
4389,bones,2,tub-,1.0,,,falsified,1.0,,,,,,
4390,grows,2,re-opened,1.0,,,richard,1.0,,,,,,
4391,impressions,2,collected,1.0,,,enrolling,1.0,,,,,,
4392,8am,2,team-,1.0,,,touring,1.0,,,,,,
4393,ny,2,perrry,1.0,,,expire,1.0,,,,,,
4394,relocation,2,williams,1.0,,,stating,1.0,,,,,,
4395,surcharges,2,sees,1.0,,,expired,1.0,,,,,,
4396,hairs,2,shine,1.0,,,confronted,1.0,,,,,,
4397,rudys,2,roomy,1.0,,,destroyed,1.0,,,,,,
4398,paint,2,floored,1.0,,,communicates,1.0,,,,,,
4399,harsh,2,5:45am,1.0,,,tactics,1.0,,,,,,
4400,buffet,2,3pm,1.0,,,heavily,1.0,,,,,,
4401,i-35,2,mainstream,1.0,,,saturated,1.0,,,,,,
4402,wm,2,sanitation,1.0,,,clueless,1.0,,,,,,
4403,judgemental,2,alcohol,1.0,,,courtesy,1.0,,,,,,
4404,insecure,2,wise,1.0,,,lead,1.0,,,,,,
4405,stereotype,2,vasa/fitness,1.0,,,pointing,1.0,,,,,,
4406,marked,2,connection/etc,1.0,,,heroic,1.0,,,,,,
4407,conditioner,2,desired…,1.0,,,measures,1.0,,,,,,
4408,accounts,2,cubbies,1.0,,,3+years,1.0,,,,,,
4409,joseph,2,loose,1.0,,,60.,1.0,,,,,,
4410,headquarters,2,nominate,1.0,,,minuts,1.0,,,,,,
4411,year-long,2,undercover,1.0,,,hotter,1.0,,,,,,
4412,electronic,2,bosses,1.0,,,120,1.0,,,,,,
4413,purchased,2,queer,1.0,,,swims,1.0,,,,,,
4414,statement,2,staples,1.0,,,8-10:30,1.0,,,,,,
4415,diagnosed,2,prominent,1.0,,,lays,1.0,,,,,,
4416,hundreds,2,ices,1.0,,,ln,1.0,,,,,,
4417,gong,2,non-peak,1.0,,,drying,1.0,,,,,,
4418,drugs,2,aesthetically,1.0,,,clothes,1.0,,,,,,
4419,spirits,2,pleasing,1.0,,,doctorate,1.0,,,,,,
4420,liquid,2,👌,1.0,,,naturopathy,1.0,,,,,,
4421,cleanly,2,chick,1.0,,,phd,1.0,,,,,,
4422,automatic,2,employment,1.0,,,naturopathic,1.0,,,,,,
4423,175,2,danya,1.0,,,sciences,1.0,,,,,,
4424,27,2,lived-in,1.0,,,breate,1.0,,,,,,
4425,cleanser,2,quicker,1.0,,,hurts,1.0,,,,,,
4426,gel,2,repairs,1.0,,,lungs,1.0,,,,,,
4427,scrub,2,bicycling,1.0,,,ingest,1.0,,,,,,
4428,language,2,dust,1.0,,,typo,1.0,,,,,,
4429,females,2,dirt,1.0,,,8-10,1.0,,,,,,
4430,jesse,2,laying,1.0,,,drives,1.0,,,,,,
4431,disputing,2,sewer,1.0,,,lexus,1.0,,,,,,
4432,disturb,2,invigorated,1.0,,,parks,1.0,,,,,,
4433,saved,2,highland,1.0,,,handicap,1.0,,,,,,
4434,drawback,2,charles,1.0,,,dat,1.0,,,,,,
4435,inform,2,rodriguez,1.0,,,pulls,1.0,,,,,,
4436,remote,2,bend,1.0,,,suitcase,1.0,,,,,,
4437,intimating,2,hah,1.0,,,goin,1.0,,,,,,
4438,vince,2,beg,1.0,,,fed,1.0,,,,,,
4439,vegas,2,sections,1.0,,,caustic,1.0,,,,,,
4440,rudest,2,glitched,1.0,,,deadly,1.0,,,,,,
4441,non-judgmental,2,processed,1.0,,,chemical,1.0,,,,,,
4442,discriminated,2,fail,1.0,,,fumes,1.0,,,,,,
4443,laughed,2,instance,1.0,,,finished,1.0,,,,,,
4444,9:30,2,rectify,1.0,,,ftness,1.0,,,,,,
4445,setback,2,5days,1.0,,,insread,1.0,,,,,,
4446,bend,2,alerted,1.0,,,managements,1.0,,,,,,
4447,promotes,2,tidbit,1.0,,,interrupt,1.0,,,,,,
4448,convince,2,whopping,1.0,,,sidewalk,1.0,,,,,,
4449,jasmine,2,54.31,1.0,,,prefers,1.0,,,,,,
4450,pulling,2,survive,1.0,,,outdated,1.0,,,,,,
4451,🔥,2,reorder,1.0,,,miserable,1.0,,,,,,
4452,da,2,patron,1.0,,,m.,1.0,,,,,,
4453,uninterrupted,2,taper,1.0,,,force,1.0,,,,,,
4454,shaky,2,scanned,1.0,,,weaker,1.0,,,,,,
4455,💪🏽,2,peep,1.0,,,unlock,1.0,,,,,,
4456,starters,2,salesmen,1.0,,,5:10-5:20am,1.0,,,,,,
4457,alternatives,2,croix,1.0,,,unacceptable,1.0,,,,,,
4458,week-,2,clerical,1.0,,,lateral,1.0,,,,,,
4459,gaining,2,trusted,1.0,,,numorous,1.0,,,,,,
4460,purposeful,2,burden,1.0,,,stollen,1.0,,,,,,
4461,1:1,2,46,1.0,,,dressing,1.0,,,,,,
4462,no-show,2,spouted,1.0,,,slmost,1.0,,,,,,
4463,lunges,2,insisted,1.0,,,cameras,1.0,,,,,,
4464,hannah,2,privately,1.0,,,selling,1.0,,,,,,
4465,cutting,2,vehicles,1.0,,,nusinesshours,1.0,,,,,,
4466,regrets,2,repir,1.0,,,early.,1.0,,,,,,
4467,5-8pm,2,trucks,1.0,,,thet,1.0,,,,,,
4468,settled,2,gouge,1.0,,,permission,1.0,,,,,,
4469,collector,2,certificate,1.0,,,havr,1.0,,,,,,
4470,neglected,2,destinations,1.0,,,lifegaurd,1.0,,,,,,
4471,roomy,2,derrick,1.0,,,referral,1.0,,,,,,
4472,floored,2,salazar,1.0,,,hint,1.0,,,,,,
4473,foremost,2,police,1.0,,,two/three,1.0,,,,,,
4474,mainstream,2,officer,1.0,,,marketing,1.0,,,,,,
4475,cubbies,2,livid,1.0,,,badger,1.0,,,,,,
4476,signage,2,badge,1.0,,,bait,1.0,,,,,,
4477,episode,2,abusing,1.0,,,sucked,1.0,,,,,,
4478,non-peak,2,authority,1.0,,,scams,1.0,,,,,,
4479,blah,2,association,1.0,,,elisabeth,1.0,,,,,,
4480,borrow,2,grunts,1.0,,,roughly,1.0,,,,,,
4481,honesty,2,obnoxiously,1.0,,,rower,1.0,,,,,,
4482,pedal,2,annoyingly,1.0,,,ongoing,1.0,,,,,,
4483,laying,2,grunt,1.0,,,improves,1.0,,,,,,
4484,gym-goers,2,moan,1.0,,,extends,1.0,,,,,,
4485,highland,2,reps,1.0,,,erg,1.0,,,,,,
4486,membership-,2,hispanic,1.0,,,mainstay,1.0,,,,,,
4487,requirements,2,unwelcoming,1.0,,,concert,1.0,,,,,,
4488,perry,2,kickstart,1.0,,,11/10,1.0,,,,,,
4489,clears,2,image,1.0,,,disappoint,1.0,,,,,,
4490,lincoln,2,ugh,1.0,,,sydney,1.0,,,,,,
4491,village,2,douche,1.0,,,ramps,1.0,,,,,,
4492,aggravating,2,horde,1.0,,,rooftop,1.0,,,,,,
4493,notifying,2,rocky,1.0,,,8:30am,1.0,,,,,,
4494,alerted,2,cruddy,1.0,,,💪🤟👌,1.0,,,,,,
4495,guise,2,burnet/183,1.0,,,650th,1.0,,,,,,
4496,crooks,2,overslept,1.0,,,whip,1.0,,,,,,
4497,noticeably,2,reoccurring,1.0,,,approachable-,1.0,,,,,,
4498,testing,2,spinal,1.0,,,select,1.0,,,,,,
4499,squat/power,2,spoiler,1.0,,,themes,1.0,,,,,,
4500,aw,2,"1,051",1.0,,,evenly,1.0,,,,,,
4501,manger,2,authorized,1.0,,,focuses,1.0,,,,,,
4502,unsubscribe,2,metaphorically,1.0,,,foam,1.0,,,,,,
4503,literature,2,glass,1.0,,,rolling,1.0,,,,,,
4504,wrote,2,karen-ing,1.0,,,nutritionist,1.0,,,,,,
4505,expanded,2,perry,1.0,,,half/full,1.0,,,,,,
4506,dad,2,secretly,1.0,,,hopping,1.0,,,,,,
4507,gum,2,seemingly,1.0,,,runners,1.0,,,,,,
4508,foam,2,nov,1.0,,,beliefs,1.0,,,,,,
4509,hourly,2,exclude,1.0,,,accomplishing,1.0,,,,,,
4510,suspend,2,dandy,1.0,,,fit/healthy,1.0,,,,,,
4511,administrative,2,dec,1.0,,,pretentiousness,1.0,,,,,,
4512,clerical,2,26,1.0,,,cook,1.0,,,,,,
4513,burden,2,furnish,1.0,,,blew,1.0,,,,,,
4514,appears,2,483.46,1.0,,,mind-,1.0,,,,,,
4515,abandoned,2,roughly,1.0,,,amazes,1.0,,,,,,
4516,gouge,2,re-evaluate,1.0,,,carried,1.0,,,,,,
4517,wears,2,walker,1.0,,,achievements,1.0,,,,,,
4518,speaker,2,ethicality,1.0,,,abundant,1.0,,,,,,
4519,cxworks,2,shapiro-style,1.0,,,reward,1.0,,,,,,
4520,identify,2,documents,1.0,,,also-,1.0,,,,,,
4521,cx,2,pour,1.0,,,rookie,1.0,,,,,,
4522,brianna,2,sand,1.0,,,nfl,1.0,,,,,,
4523,kickstart,2,sweep,1.0,,,players,1.0,,,,,,
4524,qualify,2,books,1.0,,,choosing,1.0,,,,,,
4525,disability,2,sending,1.0,,,exercises…,1.0,,,,,,
4526,deployment,2,dystopian,1.0,,,leggings,1.0,,,,,,
4527,douche-bags,2,capitalist,1.0,,,criteria,1.0,,,,,,
4528,er,2,nightmare,1.0,,,naturally,1.0,,,,,,
4529,5-7pm,2,pitbull,1.0,,,matches,1.0,,,,,,
4530,crowed,2,musician,1.0,,,+1,1.0,,,,,,
4531,crawling,2,marcos,1.0,,,nails,1.0,,,,,,
4532,149,2,resident,1.0,,,humble,1.0,,,,,,
4533,secretly,2,paso,1.0,,,3m,1.0,,,,,,
4534,nov,2,beginning…,1.0,,,bath,1.0,,,,,,
4535,issued,2,unruly,1.0,,,cueing,1.0,,,,,,
4536,roughly,2,abusive,1.0,,,thereof-,1.0,,,,,,
4537,rpm,2,cowering,1.0,,,priscilla,1.0,,,,,,
4538,registered,2,scary.,1.0,,,way-,1.0,,,,,,
4539,registration,2,16th,1.0,,,t.,1.0,,,,,,
4540,pathetic,2,robot,1.0,,,humbly,1.0,,,,,,
4541,marcos,2,confronted,1.0,,,fun-i,1.0,,,,,,
4542,grandson,2,movies,1.0,,,join-,1.0,,,,,,
4543,robot,2,scaring,1.0,,,haunting,1.0,,,,,,
4544,movies,2,parent,1.0,,,shy,1.0,,,,,,
4545,parent,2,pg,1.0,,,crossfit-adjacent,1.0,,,,,,
4546,inappropriate,2,creepy,1.0,,,ascend,1.0,,,,,,
4547,subjected,2,inappropriate,1.0,,,craved,1.0,,,,,,
4548,increments,2,brave,1.0,,,5-6,1.0,,,,,,
4549,newish,2,overlook,1.0,,,waking,1.0,,,,,,
4550,ridge,2,resolve,1.0,,,brainer,1.0,,,,,,
4551,4-6,2,subjected,1.0,,,participating,1.0,,,,,,
4552,bathroom/locker,2,revolved,1.0,,,junkie,1.0,,,,,,
4553,minimum,2,carol,1.0,,,environments,1.0,,,,,,
4554,vinyasa,2,grocery,1.0,,,afflicting,1.0,,,,,,
4555,5:00,2,resembled,1.0,,,kinesiology,1.0,,,,,,
4556,candy,2,entered,1.0,,,graduate,1.0,,,,,,
4557,estate,2,counseling,1.0,,,professions,1.0,,,,,,
4558,braydon,2,tricep,1.0,,,preach—,1.0,,,,,,
4559,icebath,2,stops,1.0,,,exhibit,1.0,,,,,,
4560,southern,2,lure,1.0,,,sporty,1.0,,,,,,
4561,scratch,2,6+,1.0,,,past—i,1.0,,,,,,
4562,link,2,newish,1.0,,,dancer,1.0,,,,,,
4563,capitalize,2,out-dated,1.0,,,stereotype,1.0,,,,,,
4564,shaped,2,5-6pm,1.0,,,presently,1.0,,,,,,
4565,goat,2,6-7,1.0,,,dedicated,1.0,,,,,,
4566,jammed,2,4-6,1.0,,,event,1.0,,,,,,
4567,…,2,wildly,1.0,,,expand,1.0,,,,,,
4568,cancel…,2,wildy,1.0,,,adult,1.0,,,,,,
4569,unused,2,sunset,1.0,,,rare,1.0,,,,,,
4570,7pm,2,valley,1.0,,,muchos,1.0,,,,,,
4571,blows,2,doenst,1.0,,,miembros,1.0,,,,,,
4572,crutches,2,scann,1.0,,,algunos,1.0,,,,,,
4573,reese,2,finsh,1.0,,,maestros,1.0,,,,,,
4574,surgeon,2,poeple,1.0,,,hablan,1.0,,,,,,
4575,filed,2,scanning,1.0,,,español,1.0,,,,,,
4576,stressful,2,tags,1.0,,,entonces,1.0,,,,,,
4577,flaws,2,besid,1.0,,,pueden,1.0,,,,,,
4578,tbh,2,idiot,1.0,,,ejercer,1.0,,,,,,
4579,hotels,2,crowdy,1.0,,,ambiente,1.0,,,,,,
4580,flat,2,minimum,1.0,,,cómoda,1.0,,,,,,
4581,fitting,2,routinely,1.0,,,recibir,1.0,,,,,,
4582,ratio,2,sight,1.0,,,instrucción,1.0,,,,,,
4583,occasional,2,gathered,1.0,,,propia,1.0,,,,,,
4584,commented,2,frustration,1.0,,,lengua,1.0,,,,,,
4585,series,2,policing,1.0,,,además,1.0,,,,,,
4586,cases,2,fairer,1.0,,,conectar,1.0,,,,,,
4587,staircase,2,.keep,1.0,,,otros,1.0,,,,,,
4588,630,2,😊👍,1.0,,,eso,1.0,,,,,,
4589,streets,2,reserved,1.0,,,otra,1.0,,,,,,
4590,goldsfit,2,dodging,1.0,,,fortaleza,1.0,,,,,,
4591,ggx,2,fining,1.0,,,esta,1.0,,,,,,
4592,validation,2,pumps,1.0,,,summary,1.0,,,,,,
4593,bicycle,2,re-open,1.0,,,customize,1.0,,,,,,
4594,responses,2,grossly,1.0,,,eeac,1.0,,,,,,
4595,affect,2,overpopulated,1.0,,,adapted,1.0,,,,,,
4596,centrally,2,died,1.0,,,tune,1.0,,,,,,
4597,fancier,2,hood,1.0,,,intuitive,1.0,,,,,,
4598,julia,2,🤝🏋🏻,1.0,,,adaptive,1.0,,,,,,
4599,ding,2,home.💪,1.0,,,roof,1.0,,,,,,
4600,multi,2,to☺,1.0,,,varies,1.0,,,,,,
4601,weight-lifting,2,💪😀,1.0,,,🚣‍♀️,1.0,,,,,,
4602,great-,2,trustworthy,1.0,,,patio,1.0,,,,,,
4603,out-,2,hardworking,1.0,,,overlooking,1.0,,,,,,
4604,appearing,2,gems,1.0,,,powered,1.0,,,,,,
4605,mistaken,2,responds,1.0,,,fans,1.0,,,,,,
4606,harass,2,hoop,1.0,,,privacy,1.0,,,,,,
4607,interrupt,2,day/week,1.0,,,connor,1.0,,,,,,
4608,sign-up,2,name/email,1.0,,,euipemnet,1.0,,,,,,
4609,on-site,2,capitalize,1.0,,,rejuvenated,1.0,,,,,,
4610,contacts,2,duties,1.0,,,rofitness,1.0,,,,,,
4611,disclosed,2,jason,1.0,,,ergometer,1.0,,,,,,
4612,fundamental,2,clay,1.0,,,good-natured,1.0,,,,,,
4613,unwelcome,2,clutch,1.0,,,theme,1.0,,,,,,
4614,reward,2,185+,1.0,,,hamstrings,1.0,,,,,,
4615,peoples,2,playground,1.0,,,cyclist,1.0,,,,,,
4616,permit,2,grown,1.0,,,balcony,1.0,,,,,,
4617,karate,2,👍👍👏👏,1.0,,,weather,1.0,,,,,,
4618,pausing,2,sister,1.0,,,waterfront,1.0,,,,,,
4619,peek,2,buzzmill,1.0,,,coolest,1.0,,,,,,
4620,sadie,2,engagement,1.0,,,picked,1.0,,,,,,
4621,dimension,2,oddly,1.0,,,tarrytown,1.0,,,,,,
4622,230,2,5-9pm,1.0,,,1000m,1.0,,,,,,
4623,23,2,mini,1.0,,,22/24/open,1.0,,,,,,
4624,warrior,2,breaker,1.0,,,a-ma-zing,1.0,,,,,,
4625,acceptance,2,stairs/levels,1.0,,,biz,1.0,,,,,,
4626,6:30am,2,drawing,1.0,,,jazzed,1.0,,,,,,
4627,topic,2,staff/management,1.0,,,/life,1.0,,,,,,
4628,violating,2,memebership,1.0,,,welcom,1.0,,,,,,
4629,beto,2,leads,1.0,,,in-store,1.0,,,,,,
4630,politics,2,…,1.0,,,minimizing,1.0,,,,,,
4631,understandable,2,dangerous,1.0,,,fears,1.0,,,,,,
4632,sum,2,sure.,1.0,,,demeanor,1.0,,,,,,
4633,hablan,2,harsh,1.0,,,demos,1.0,,,,,,
4634,español,2,shocked,1.0,,,communicative,1.0,,,,,,
4635,jersey,2,fortunately,1.0,,,constructive,1.0,,,,,,
4636,cfc,2,struggling,1.0,,,mapped,1.0,,,,,,
4637,workshops,2,incapable,1.0,,,supplement,1.0,,,,,,
4638,relentless,2,separate,1.0,,,struggles,1.0,,,,,,
4639,hopping,2,confirmation,1.0,,,nicks,1.0,,,,,,
4640,prides,2,littlefield,1.0,,,devising,1.0,,,,,,
4641,rxfit,2,140,1.0,,,evolved,1.0,,,,,,
4642,advises,2,luckily,1.0,,,problematic,1.0,,,,,,
4643,empathetic,2,freeways,1.0,,,spine,1.0,,,,,,
4644,optimal,2,codes,1.0,,,caused,1.0,,,,,,
4645,healing,2,tbh,1.0,,,atta,1.0,,,,,,
4646,trusting,2,corey,1.0,,,celebrate,1.0,,,,,,
4647,remarkable,2,1030,1.0,,,victories,1.0,,,,,,
4648,folk,2,1130,1.0,,,manages,1.0,,,,,,
4649,painless,2,1300-1330,1.0,,,dichotomy,1.0,,,,,,
4650,searched,2,1400,1.0,,,packs,1.0,,,,,,
4651,cracks,2,maze,1.0,,,punch,1.0,,,,,,
4652,spouse,2,mouse,1.0,,,appt,1.0,,,,,,
4653,transitioned,2,twists,1.0,,,development,1.0,,,,,,
4654,pricier,2,reminded,1.0,,,spending,1.0,,,,,,
4655,punishing,2,flat,1.0,,,dreading,1.0,,,,,,
4656,grounded,2,counterbalanced,1.0,,,lily,1.0,,,,,,
4657,translate,2,advertising,1.0,,,surgeries,1.0,,,,,,
4658,100+,2,channel,1.0,,,leap,1.0,,,,,,
4659,brutal,2,sports/news,1.0,,,faith,1.0,,,,,,
4660,incorporating,2,rethink,1.0,,,strives,1.0,,,,,,
4661,lockdown,2,soothing,1.0,,,intimidate,1.0,,,,,,
4662,injure,2,scrolling,1.0,,,1x,1.0,,,,,,
4663,county,2,angry,1.0,,,deny,1.0,,,,,,
4664,2006,2,fitting,1.0,,,strengths/weaknesses,1.0,,,,,,
4665,rogue,2,machine-to-free-weight,1.0,,,adjustments/accommodations,1.0,,,,,,
4666,cdc,2,occasional,1.0,,,interviewed,1.0,,,,,,
4667,era,2,locale,1.0,,,assigned,1.0,,,,,,
4668,maxes,2,afternoon/early,1.0,,,comprehensive,1.0,,,,,,
4669,chooses,2,weekday,1.0,,,restrictions,1.0,,,,,,
4670,tldr,2,lines,1.0,,,progressed,1.0,,,,,,
4671,straightforward,2,off-peak,1.0,,,guides,1.0,,,,,,
4672,whistles,2,annoyances,1.0,,,testify,1.0,,,,,,
4673,attendees,2,cases,1.0,,,standpoint,1.0,,,,,,
4674,florida,2,work/live,1.0,,,sustainable,1.0,,,,,,
4675,judges,2,ditching,1.0,,,restriction,1.0,,,,,,
4676,hammock,2,full-time,1.0,,,fixating,1.0,,,,,,
4677,leighanne,2,disrupted,1.0,,,meaningless,1.0,,,,,,
4678,themed,2,ggx,1.0,,,frustration,1.0,,,,,,
4679,rides,2,validation,1.0,,,suxh,1.0,,,,,,
4680,britney,2,vehicle,1.0,,,seamless,1.0,,,,,,
4681,coordinated,2,tad,1.0,,,zoom,1.0,,,,,,
4682,shoe,2,artists,1.0,,,no-regrets,1.0,,,,,,
4683,rentals,2,package,1.0,,,sweetheart,1.0,,,,,,
4684,anxious,2,overbilling,1.0,,,dread,1.0,,,,,,
4685,willingness,2,errors,1.0,,,amazing—she,1.0,,,,,,
4686,love/hate,2,scum,1.0,,,exceeded,1.0,,,,,,
4687,leah,2,responses,1.0,,,exceed,1.0,,,,,,
4688,✨,2,isolated,1.0,,,fooled,1.0,,,,,,
4689,ultra,2,redirected,1.0,,,exhausted,1.0,,,,,,
4690,gathering,2,explore,1.0,,,levels—i,1.0,,,,,,
4691,co-working,2,styrofoam,1.0,,,sledge,1.0,,,,,,
4692,orthopedic,2,lunges,1.0,,,prepares,1.0,,,,,,
4693,networking,2,stairway,1.0,,,tiniest,1.0,,,,,,
4694,toy,2,width,1.0,,,affect,1.0,,,,,,
4695,erg,2,fired,1.0,,,nichols,1.0,,,,,,
4696,rationale,2,affect,1.0,,,expressing,1.0,,,,,,
4697,optimization,2,warrant,1.0,,,dumb,1.0,,,,,,
4698,stoked,2,pathetic,1.0,,,waist,1.0,,,,,,
4699,café,2,assured,1.0,,,salons,1.0,,,,,,
4700,larry,2,navy,1.0,,,excessive,1.0,,,,,,
4701,miami,2,scenario,1.0,,,consolation,1.0,,,,,,
4702,bummed,2,thins,1.0,,,consult,1.0,,,,,,
4703,fulfilling,2,dogging,1.0,,,up…but,1.0,,,,,,
4704,suggestions,2,resolutionists,1.0,,,conversations,1.0,,,,,,
4705,digging,2,rows,1.0,,,knit,1.0,,,,,,
4706,critical,2,yoga/dance/aerobics,1.0,,,buddies,1.0,,,,,,
4707,unconditional,2,property,1.0,,,post-physical,1.0,,,,,,
4708,sculpting,2,belonged,1.0,,,cover,1.0,,,,,,
4709,defranco,2,fancier,1.0,,,spectrum,1.0,,,,,,
4710,forces,2,downgrade,1.0,,,tomorrow,1.0,,,,,,
4711,patterns,2,traversing,1.0,,,semi-private,1.0,,,,,,
4712,durable,2,undesirable,1.0,,,extensive,1.0,,,,,,
4713,fighters,2,socal,1.0,,,corrects,1.0,,,,,,
4714,accomplishing,2,re-racked,1.0,,,misalignment,1.0,,,,,,
4715,jiu-jitsu,2,justin,1.0,,,sees,1.0,,,,,,
4716,rolling,2,holmes,1.0,,,compassionate,1.0,,,,,,
4717,foundations,2,major-market,1.0,,,diagnosed,1.0,,,,,,
4718,life-changing,2,recruiters,1.0,,,fracture,1.0,,,,,,
4719,delicious,2,convinced,1.0,,,aug.,1.0,,,,,,
4720,secondary,2,guise,1.0,,,excellence,1.0,,,,,,
4721,ig,2,grievances,1.0,,,altered,1.0,,,,,,
4722,disappear,2,mistaken,1.0,,,coincide,1.0,,,,,,
4723,friendliness,2,paperwork,1.0,,,verbalized,1.0,,,,,,
4724,monitors,2,recruitment,1.0,,,accessories,1.0,,,,,,
4725,open-air,2,proceeded,1.0,,,precision,1.0,,,,,,
4726,prompt,2,harass,1.0,,,pre-injury,1.0,,,,,,
4727,orientation,2,belittling,1.0,,,utmost,1.0,,,,,,
4728,volumes,2,interrupt,1.0,,,research-based,1.0,,,,,,
4729,productive,2,interactions,1.0,,,non-stop,1.0,,,,,,
4730,rejoined,2,sign-up,1.0,,,chiropractor,1.0,,,,,,
4731,intensive,2,vip,1.0,,,misses,1.0,,,,,,
4732,pre-hab,2,clarify,1.0,,,custom,1.0,,,,,,
4733,gas,2,grabbed,1.0,,,skepticism,1.0,,,,,,
4734,motions,2,10+,1.0,,,developing,1.0,,,,,,
4735,taylor,2,threat,1.0,,,accident,1.0,,,,,,
4736,caprice,2,archaic,1.0,,,spreads,1.0,,,,,,
4737,talent,2,underhanded,1.0,,,wildfire,1.0,,,,,,
4738,streamlined,2,outlets,1.0,,,dramatically,1.0,,,,,,
4739,podium,2,embraced,1.0,,,rack,1.0,,,,,,
4740,4:45,2,much💪🤜🤛,1.0,,,heartedly,1.0,,,,,,
4741,ali,2,simultaneously,1.0,,,eating,1.0,,,,,,
4742,rockstar,2,weighted,1.0,,,catering,1.0,,,,,,
4743,floods,2,degrading,1.0,,,tapping,1.0,,,,,,
4744,dripping,2,underground,1.0,,,gm,1.0,,,,,,
4745,superior,2,pit,1.0,,,delapaz,1.0,,,,,,
4746,earplugs,2,claim,1.0,,,fiancé,1.0,,,,,,
4747,❌❌❌,2,disputed,1.0,,,doit4thedents,1.0,,,,,,
4748,rode,2,defined,1.0,,,boundaries,1.0,,,,,,
4749,safest,2,zeik,1.0,,,minimize,1.0,,,,,,
4750,introduction,2,steven,1.0,,,anatomy,1.0,,,,,,
4751,competitor,2,elizabeth,1.0,,,kickstart,1.0,,,,,,
4752,hack,2,watcher,1.0,,,boutique,1.0,,,,,,
4753,11am,2,omg,1.0,,,apps,1.0,,,,,,
4754,miscommunication,2,stairways,1.0,,,passed,1.0,,,,,,
4755,dispenser,2,congestion,1.0,,,originally,1.0,,,,,,
4756,toilets,2,7pm,1.0,,,deadlifting,1.0,,,,,,
4757,scene,2,blink,1.0,,,150,1.0,,,,,,
4758,strikes,2,lockeroom,1.0,,,wholeheartedly,1.0,,,,,,
4759,trigger,2,jacobs,1.0,,,outlook,1.0,,,,,,
4760,milking,2,ladder,1.0,,,lifting/training,1.0,,,,,,
4761,bri,2,5-7pm,1.0,,,accident-prone,1.0,,,,,,
4762,metrics,2,s.s.i,1.0,,,weight/getting,1.0,,,,,,
4763,adhere,2,deposited,1.0,,,imbalances,1.0,,,,,,
4764,becca,2,impolite,1.0,,,distracted,1.0,,,,,,
4765,anticipating,2,klein,1.0,,,diet/nutrition,1.0,,,,,,
4766,neighbor,2,thrashed,1.0,,,referred,1.0,,,,,,
4767,standout,2,geet,1.0,,,nayden,1.0,,,,,,
4768,shaye,2,swoll,1.0,,,secondary,1.0,,,,,,
4769,inspire,2,chicks,1.0,,,kicking,1.0,,,,,,
4770,wagon,2,doentown,1.0,,,stressful,1.0,,,,,,
4771,clarity,2,1.00,1.0,,,gym-goer,1.0,,,,,,
4772,charts,2,cramp,1.0,,,householder,1.0,,,,,,
4773,performs,2,dt,1.0,,,eased,1.0,,,,,,
4774,asks,2,🔥🔥🔥,1.0,,,cultivates,1.0,,,,,,
4775,unresponsive,2,muy,1.0,,,mentality,1.0,,,,,,
4776,joking,2,divertido,1.0,,,mate,1.0,,,,,,
4777,brighter,2,este,1.0,,,life🤗,1.0,,,,,,
4778,monolift,2,canta,1.0,,,steadily,1.0,,,,,,
4779,thread,2,gustaría,1.0,,,acl,1.0,,,,,,
4780,songs,2,saber,1.0,,,bulged,1.0,,,,,,
4781,criteria,2,hablan,1.0,,,l5,1.0,,,,,,
4782,clue,2,español,1.0,,,mistaken,1.0,,,,,,
