,neg,neu,pos,compound,place_id
162,0.0,0.674,0.326,0.9599,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
163,0.0,0.621,0.379,0.9493,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
164,0.0,1.0,0.0,0.0,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
165,0.128,0.872,0.0,-0.8126,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
166,0.011,0.89,0.1,0.9045,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
167,0.057,0.637,0.306,0.8934,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
168,0.124,0.832,0.044,-0.4874,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
169,0.0,0.769,0.231,0.9493,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
170,0.192,0.699,0.109,-0.5371,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
171,0.07,0.672,0.258,0.9036,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
172,0.121,0.879,0.0,-0.5687,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
173,0.0,0.196,0.804,0.9231,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
174,0.059,0.854,0.087,0.5572,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
175,0.0,0.721,0.279,0.9485,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
176,0.118,0.753,0.129,0.1496,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
177,0.008,0.943,0.049,0.875,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
178,0.035,0.863,0.102,0.5859,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
179,0.0,0.631,0.369,0.6249,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
180,0.059,0.871,0.07,-0.1556,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
181,0.0,0.827,0.173,0.5927,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
182,0.107,0.808,0.084,-0.2975,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
183,0.053,0.669,0.279,0.9482,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
184,0.056,0.815,0.129,0.9065,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
185,0.072,0.895,0.033,-0.4497,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
186,0.034,0.749,0.217,0.935,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
187,0.011,0.747,0.242,0.9964,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
188,0.135,0.79,0.075,-0.8113,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
189,0.063,0.696,0.241,0.6808,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
