weekday,Total Business Hour,place_id
"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",168.0,ChIJZW7ZF7w0W4YR6xDqTgygRtw
"['Monday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009\u20097:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009\u20097:00\u202fPM']",111.0,ChIJO2DDHBK1RIYRdJxB2BxVCCg
"['Monday: 6:00\u202fAM\u2009\u20091:00\u202fPM, 6:00\u2009\u20097:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u20091:00\u202fPM, 6:00\u2009\u20097:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009\u20091:00\u202fPM, 6:00\u2009\u20097:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009\u20091:00\u202fPM, 6:00\u2009\u20097:00\u202fPM', 'Friday: 6:00\u202fAM\u2009\u20091:00\u202fPM', 'Saturday: 8:00\u2009\u200911:00\u202fAM', 'Sunday: 9:00\u2009\u200910:00\u202fAM']",44.0,ChIJ80i_rdO0RIYRjCZLgstsFqU
"['Monday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u20092:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009\u20092:00\u202fPM']",89.0,ChIJ3UKQkOUzW4YR89KDbAW-ioM
"['Monday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009\u20099:00\u202fPM']",118.0,ChIJWRcrBSPKRIYRC_Ly7M4bU30
"['Monday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 5:30\u202fAM\u2009\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009\u200912:30\u202fPM', 'Sunday: Closed']",85.0,ChIJz2pwmO61RIYR_pND8CYKXMw
"['Monday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u20098:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009\u20098:00\u202fPM']",113.0,ChIJfadJcDFLW4YRTXGMvist_y8
"['Monday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009\u20091:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009\u20092:00\u202fPM']",84.5,ChIJE2VB64HKRIYRHq6eDF0RwCU
"['Monday: 6:00\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 6:00\u202fAM\u2009\u20091:30\u202fPM', 'Saturday: 8:30\u202fAM\u2009\u20091:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009\u200912:00\u202fPM']",83.5,ChIJlWw_zh61RIYRDFtEZC9fHu0
"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",168.0,ChIJPwUdGrMwW4YRXsnj4ElLT4A
"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",168.0,ChIJx5kWoq_LRIYRqsKoeyWqfbM
"['Monday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009\u20093:30\u202fPM', 'Sunday: 10:30\u202fAM\u2009\u200912:00\u202fPM']",95.0,ChIJb_W2cRrLRIYR1k6UEQzlAFw
"['Monday: 6:45\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20098:00\u202fPM', 'Tuesday: 6:45\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20098:00\u202fPM', 'Wednesday: 6:45\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20098:00\u202fPM', 'Thursday: 6:45\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20098:00\u202fPM', 'Friday: 6:30\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20097:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009\u20091:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009\u20091:00\u202fPM, 4:00\u2009\u20096:00\u202fPM']",64.0,ChIJo7iYfHe1RIYR-mY_06tLN50
"['Monday: 5:30\u202fAM\u2009\u20091:00\u202fPM, 4:00\u2009\u20099:00\u202fPM', 'Tuesday: 5:30\u202fAM\u2009\u20091:00\u202fPM, 5:00\u2009\u20099:00\u202fPM', 'Wednesday: 5:30\u202fAM\u2009\u20091:00\u202fPM, 4:00\u2009\u20098:00\u202fPM', 'Thursday: 5:30\u202fAM\u2009\u20091:00\u202fPM, 5:00\u2009\u20099:00\u202fPM', 'Friday: 5:30\u202fAM\u2009\u20091:00\u202fPM, 5:00\u2009\u20097:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u20091:30\u202fPM', 'Sunday: 8:00\u202fAM\u2009\u200912:30\u202fPM, 3:30\u2009\u20095:15\u202fPM']",80.75,ChIJHZsvqQi1RIYRJ7YP4AAdSBo
"['Monday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u200910:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009\u20097:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009\u20097:00\u202fPM']",111.0,ChIJ7YydDH3MRIYRW04GcSpT4WU
"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",168.0,ChIJUyvJpsvLRIYRPYQMVr3Y-n4
